| 法术名
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 支配类人Dominate Person
 | 五环
 | 惑控
 | 诗 术 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 龙类变形Draconic Transformation
 | 七环
 | 变化
 | 德 术 法
 | V
 | S
 | M*
 | ×
 | √
 | FTD
 | 龙息术Dragon's Breath
 | 二环
 | 变化
 | 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 卓姆吉瞬间召唤Drawmij's Instant Summons
 | 六环
 | 咒法
 | 法
 | V
 | S
 | M*
 | √
 | ×
 | PHB24
 | 托梦术Dream
 | 五环
 | 幻术
 | 诗 法 锁
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 蓝纱一梦Dream of the Blue Veil
 | 七环
 | 咒法
 | 诗 术 法 锁
 | V
 | S
 | M
 | ×
 | ×
 | TCE
 | 德鲁伊林地Druid Grove
 | 六环
 | 防护
 | 德
 | V
 | S
 | M*
 | ×
 | ×
 | XGE
 | 德鲁伊伎俩Druidcraft
 | 戏法(零环)
 | 变化
 | 德
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 龙卷尘暴Dust Devil
 | 二环
 | 咒法
 | 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | XGE
 | 地颤Earth Tremor
 | 一环
 | 塑能
 | 诗 德 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | XGE
 | 地缚Earthbind
 | 二环
 | 变化
 | 德 术 法 锁
 | V
 | ×
 | ×
 | ×
 | √
 | XGE
 | 地震术Earthquake
 | 八环
 | 变化
 | 牧 德 术
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 魔能爆Eldritch Blast
 | 戏法(零环)
 | 塑能
 | 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 元素灾厄Elemental Bane
 | 四环
 | 变化
 | 德 法 械 锁
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 元素武器Elemental Weapon
 | 三环
 | 变化
 | 德 帕 软
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 四象法门Elementalism
 | 戏法(零环)
 | 变化
 | 德 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 思想编码Encode Thoughts
 | 戏法(零环)
 | 惑控
 | 无
 | ×
 | S
 | ×
 | ×
 | ×
 | GGR
 | 敌群环绕Enemies Abound
 | 三环
 | 惑控
 | 诗 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 汲能术Enervation
 | 五环
 | 死灵
 | 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 强化属性Enhance Ability
 | 二环
 | 变化
 | 诗 牧 德 软 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 变巨术/缩小术Enlarge/Reduce
 | 二环
 | 变化
 | 诗 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 捕获打击Ensnaring Strike
 | 一环
 | 咒法
 | 软
 | V
 | ×
 | ×
 | ×
 | √
 | PHB24
 | 纠缠术Entangle
 | 一环
 | 咒法
 | 德 软
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 注目术Enthrall
 | 二环
 | 惑控
 | 诗 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 土石喷发Erupting Earth
 | 三环
 | 变化
 | 德 术 法
 | V
 | S
 | M
 | ×
 | ×
 | XGE
 | 以太化Etherealness
 | 七环
 | 咒法
 | 诗 牧 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 艾伐黑触手Evard's Black Tentacles
 | 四环
 | 咒法
 | 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 脚底抹油Expeditious Retreat
 | 一环
 | 变化
 | 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 摄心目光Eyebite
 | 六环
 | 死灵
 | 诗 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 鬼斧神工Fabricate
 | 四环
 | 变化
 | 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 妖火Faerie Fire
 | 一环
 | 塑能
 | 诗 德
 | V
 | ×
 | ×
 | ×
 | √
 | PHB24
 | 虚假生命False Life
 | 一环
 | 死灵
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 渺远步Far Step
 | 五环
 | 咒法
 | 术 法 锁
 | V
 | ×
 | ×
 | ×
 | √
 | XGE
 | 快速交友Fast Friends
 | 三环
 | 惑控
 | 牧 法
 | V
 | ×
 | ×
 | ×
 | √
 | AI
 | 恐惧术Fear
 | 三环
 | 幻术
 | 诗 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 羽落术Feather Fall
 | 一环
 | 变化
 | 诗 术 法
 | V
 | ×
 | M
 | ×
 | ×
 | PHB24
 | 假死术Feign Death
 | 三环
 | 死灵
 | 诗 牧 德 法
 | V
 | S
 | M
 | √
 | ×
 | PHB24
 | 寻获魔宠Find Familiar
 | 一环
 | 咒法
 | 法
 | V
 | S
 | M*
 | √
 | ×
 | PHB24
 | 寻获高等坐骑Find Greater Steed
 | 四环
 | 咒法
 | 帕
 | V
 | S
 | ×
 | ×
 | ×
 | XGE
 | 寻获坐骑Find Steed
 | 二环
 | 咒法
 | 帕
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 寻找陷阱Find Traps
 | 二环
 | 预言
 | 牧 德 软
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 寻路术Find the Path
 | 六环
 | 预言
 | 诗 牧 德
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 死亡一指Finger of Death
 | 七环
 | 死灵
 | 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 火焰箭Fire Bolt
 | 戏法(零环)
 | 塑能
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 火焰护盾Fire Shield
 | 四环
 | 塑能
 | 德 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 火焰风暴Fire Storm
 | 七环
 | 塑能
 | 牧 德 术
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 火球术Fireball
 | 三环
 | 塑能
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 费资本铂金盾Fizban's Platinum Shield
 | 六环
 | 防护
 | 术 法
 | V
 | S
 | M*
 | ×
 | √
 | FTD
 | 烈焰箭矢Flame Arrows
 | 三环
 | 变化
 | 德 软 术 法
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 火焰刀Flame Blade
 | 二环
 | 塑能
 | 德 术
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 焰击术Flame Strike
 | 五环
 | 塑能
 | 牧
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 炽焰法球Flaming Sphere
 | 二环
 | 咒法
 | 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 石化术Flesh to Stone
 | 六环
 | 变化
 | 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 飞行术Fly
 | 三环
 | 变化
 | 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 云雾术Fog Cloud
 | 一环
 | 咒法
 | 德 软 术 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 禁制术Forbiddance
 | 六环
 | 防护
 | 牧
 | V
 | S
 | M*
 | √
 | ×
 | PHB24
 | 力场监牢Forcecage
 | 七环
 | 塑能
 | 诗 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 预见术Foresight
 | 九环
 | 预言
 | 诗 德 法 锁
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 月光涌泉Fount of Moonlight
 | 四环
 | 塑能
 | 诗 德
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 行动自如Freedom of Movement
 | 四环
 | 防护
 | 诗 牧 德 软
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 交友术Friends
 | 戏法(零环)
 | 惑控
 | 诗 术 法 锁
 | ×
 | S
 | M
 | ×
 | √
 | PHB24
 | 霜噬Frostbite
 | 戏法(零环)
 | 塑能
 | 德 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | XGE
 | 气化形体Gaseous Form
 | 三环
 | 变化
 | 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 异界之门Gate
 | 九环
 | 咒法
 | 牧 术 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 界门封锁Gate Seal
 | 四环
 | 防护
 | 术 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | SO
 | 指使术Geas
 | 五环
 | 惑控
 | 诗 牧 德 帕 法
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 遗体防腐Gentle Repose
 | 二环
 | 死灵
 | 牧 帕 法
 | V
 | S
 | M*
 | √
 | ×
 | PHB24
 | 巨虫术Giant Insect
 | 四环
 | 咒法
 | 德
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 巧舌如簧Gift of Gab
 | 二环
 | 惑控
 | 法
 | V
 | S
 | ×
 | ×
 | ×
 | AI
 | 花言巧语Glibness
 | 八环
 | 惑控
 | 诗 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 法术无效结界Globe of Invulnerability
 | 六环
 | 防护
 | 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 守卫刻纹Glyph of Warding
 | 三环
 | 防护
 | 诗 牧 法
 | V
 | S
 | M*
 | ×
 | ×
